risk_label,score,matched_rules,explanation,transaction_id,index
Medium,55,['KYC Due Date Overdue'],"The transaction is a high‑value domestic wire transfer between individuals in Vietnam. The bank has performed CDD and EDD, and all required information for the wire transfer is present. However, the KYC data for the customer is overdue (last completed 28/12/2020, due 28/12/2022), which violates the ongoing monitoring requirement of Clause 6.19‑6.26. No other rule violations were detected, so the overall risk is assessed as Medium.",0a117a64-3896-407e-b136-fdc3cad7d509,10
High,85,"['Potential Sanctions Hit', 'KYC Outdated', 'Suspicious Transaction Not Reported']","The transaction involves a high‑risk customer and a potential sanctions hit, yet the KYC was last completed over a year ago and no suspicious transaction report was filed. These compliance gaps trigger high‑risk flags under MAS Notice 626, warranting a high‑risk assessment.",93d3933e-5716-40ba-9cea-1f5ac87e64a5,11
High,85,"['Potential Sanctions Screening Hit', 'Simplified CDD Violation', 'Suspicious Transaction Reporting Violation']","The transaction is a high‑value cash withdrawal (S$23,862.98) from a high‑risk customer (originator country Russia, high risk rating). While enhanced due diligence (EDD) was performed, the sanctions screening returned a potential hit and no suspicion flag or STR was filed, violating clause 6.2 and the STR obligations. Additionally, simplified CDD was applied to a high‑risk customer, breaching clause 7.4. These compliance breaches elevate the risk to a high level.",d508071d-1e95-4a25-a5cc-f936d7402bda,12
Medium,55,"['High Transaction Amount', 'Potential Sanctions Hit', 'Outdated KYC']","The transaction exceeds the S$20,000 threshold for a non‑relationship customer, yet the KYC was last completed over three years ago and the due date has passed, indicating a lapse in ongoing monitoring. The sanctions screening returned a potential hit, raising concern. No direct violation of travel‑rule or value‑transfer requirements was found, but the outdated KYC and potential sanctions flag elevate the risk to medium.",125871f9-cc28-48b3-81f4-0515fd33f5cb,13
High,85,"['Suspicion Determined After Transaction', 'KYC Not Completed Before Transaction', 'Missing Travel Rule Information for Cross-Border Transfer', 'Failure to File Suspicious Transaction Report', 'Potential Sanctions Hit', 'High Transaction Amount']","The transaction breaches several MAS Notice 626 clauses: suspicion was flagged only after the transaction was booked (Clause 6.2), KYC was not completed before the transaction (Clause 6.3), cross‑border wire transfer details (originator address/ID) required for amounts >S$1,500 are missing (Clause 11), a potential sanctions hit was identified (Clause 6.39‑6.42), and there is no evidence of a Suspicious Transaction Report being filed (Clause 14). These combined violations elevate the risk to high.",9db0c15a-8d81-4f97-80aa-32edecc7068d,14
Low,20,[],"All AML/CFT controls applicable to the transaction are satisfied: the customer is a medium‑risk PEP with EDD performed, KYC completed, and all required screening and travel‑rule information are present. No suspicious activity or regulatory breaches were identified, resulting in a low‑risk assessment.",4b3a34d7-1c0d-45f7-94c0-e8706c33fff5,15
Medium,50,['KYC Due Date Exceeded'],"The transaction satisfies all travel‑rule, CDD, and sanctions screening requirements. However, the customer’s KYC was last completed on 25/11/2022 and the due date was 24/05/2023, which is now overdue. This represents a compliance gap that elevates the risk to medium.",c390f020-bc18-49b2-9d8c-7cfb080761fe,16
Medium,55,"['Simplified CDD applied to PEP', 'KYC overdue']","The transaction involves a PEP customer, yet simplified CDD was applied, which is prohibited for PEPs under Clause 7. Additionally, the KYC was last completed on 20/8/2020 with a due date of 20/8/2021, making it overdue and violating ongoing monitoring requirements under Clause 6.19‑6.26. No other major violations were identified, so the risk is assessed as medium.",b36d1638-b257-4460-96f1-4aa391f4c12c,17
Medium,55,"['customer_due_diligence.clause_6.sub_clauses.6.3', 'customer_due_diligence.clause_6.sub_clauses.6.2']","The transaction involves a high‑risk customer with a KYC that is overdue (last completed 22/4/2021, due 22/4/2023) and a potential sanctions screening hit. No other AML/CFT requirements are breached. The overdue KYC and potential sanctions flag raise the risk to medium.",1b2e5d4b-0ea1-465f-8b0a-6af8c4a01868,18
Low,10,[],"The transaction complies with all relevant MAS Notice 626 clauses. It is a cross‑border wire transfer below the S$1,500 threshold for travel‑rule requirements, with all required originator/beneficiary details present and travel‑rule completion flagged. No sanctions hits, no suspicion flags, and all CDD and EDD requirements are satisfied for a low‑risk customer. No rule violations were identified.",b9e32ea8-e895-4172-970b-b174fe4fb4eb,19
